Community Area Number,Community Area Name,Group,Trimester Prenatal Care Began,Births 2000,Percent 2000,total births_2000,weighted_avg_percent_2000,Births 2001,Percent 2001,total births_2001,weighted_avg_percent_2001,Births 2002,Percent 2002,total births_2002,weighted_avg_percent_2002,Births 2003,Percent 2003,total births_2003,weighted_avg_percent_2003,Births 2004,Percent 2004,total births_2004,weighted_avg_percent_2004,Births 2005,Percent 2005,total births_2005,weighted_avg_percent_2005,Births 2006,Percent 2006,total births_2006,weighted_avg_percent_2006,Births 2007,Percent 2007,total births_2007,weighted_avg_percent_2007,Births 2008,Percent 2008,total births_2008,weighted_avg_percent_2008,Births 2009,Percent 2009,total births_2009,weighted_avg_percent_2009
29,NORTH LAWNDALE,Most,1ST TRIMESTER,641,65.5,5954,7.051645952,622,66.4,5858,7.050324343,594,72,5525,7.74081448,595,73.6,5236,8.363636364,582,71.1,5118,8.085228605,558,74.4,5002,8.299720112,555,74.4,5219,7.91186051,592,77.5,5307,8.645185604,591,77.8,5085,9.042241888,569,75.8,4748,9.083866891
30,SOUTH LAWNDALE,More,1ST TRIMESTER,1703,78.9,9123,14.72834594,1781,82.3,9196,15.93913658,1752,83.9,8919,16.48086108,1694,84,8663,16.42571857,1628,82.7,8197,16.42498475,1538,86.3,8185,16.21617593,1515,85,8503,15.14465483,1496,84.4,8315,15.18489477,1407,84.6,7848,15.16720183,1338,85.1,7352,15.48745919
31,LOWER WEST SIDE,More,1ST TRIMESTER,774,69.5,9123,5.896415653,754,75.5,9196,6.190408873,744,79.1,8919,6.598318197,709,77,8663,6.301858479,680,78.4,8197,6.503842869,620,81.5,8185,6.173488088,627,80.5,8503,5.935963777,599,83.7,8315,6.029621167,553,84.8,7848,5.975331295,487,80.8,7352,5.352230686
32,LOOP,Less,1ST TRIMESTER,121,85.8,6617,1.568958743,119,90.2,6846,1.567893661,132,89.2,6851,1.718639615,127,85.8,6795,1.603620309,121,87.1,6411,1.643908907,142,85.5,6729,1.804279982,150,85.7,6983,1.840899327,169,81.3,6965,1.972677674,166,71.2,6864,1.721911422,205,78.2,6925,2.314945848
33,NEAR SOUTH SIDE,Moderately,1ST TRIMESTER,137,71.7,8661,1.1341531,166,78.7,9088,1.437522007,187,79.9,9004,1.65940693,209,80.7,9035,1.866773658,189,81.1,8400,1.82475,245,88.8,8699,2.500977124,226,82.5,9112,2.046202809,257,80.6,8929,2.319879046,264,73.5,8684,2.234454169,338,78.1,8461,3.119938542
34,ARMOUR SQUARE,Moderately,1ST TRIMESTER,123,75,8661,1.065119501,118,82.5,9088,1.071192782,92,82.1,9004,0.838871613,108,83.1,9035,0.993337023,116,89.9,8400,1.24147619,108,83.1,8699,1.031704794,115,85.2,9112,1.075285338,107,85.6,8929,1.025781163,112,80,8684,1.031782589,121,79.1,8461,1.131201986
35,DOUGLAS,More,1ST TRIMESTER,310,71.3,9123,2.422777595,284,73.4,9196,2.266811657,246,76.4,8919,2.107231752,220,77.2,8663,1.960521759,205,77.1,8197,1.928205441,198,77,8185,1.862675626,175,75.1,8503,1.545630954,174,74.4,8315,1.556897174,152,76,7848,1.47196738,149,76,7352,1.540261153
36,OAKLAND,Most,1ST TRIMESTER,98,68.1,5954,1.120893517,96,73.8,5858,1.209423011,75,75.8,5525,1.028959276,57,64.8,5236,0.705423988,68,80,5118,1.062915201,62,75.6,5002,0.937065174,70,82.4,5219,1.105192566,86,84.3,5307,1.366082533,93,80.9,5085,1.479587021,78,75,4748,1.232097725
37,FULLER PARK,Most,1ST TRIMESTER,51,73.9,5954,0.633003023,38,70.4,5858,0.456674633,31,59.6,5525,0.33440724,27,51.9,5236,0.26762796,50,73.5,5118,0.718053927,35,71.4,5002,0.49960016,37,75.5,5219,0.535255796,43,81.1,5307,0.657113247,26,74.3,5085,0.379901672,25,71.4,4748,0.375947767
38,GRAND BOULEVARD,Most,1ST TRIMESTER,361,65.2,5954,3.953174337,344,72.1,5858,4.233936497,317,73,5525,4.18841629,284,74.5,5236,4.040870894,259,78.2,5118,3.957366159,221,77.5,5002,3.424130348,233,81.5,5219,3.638532286,248,80.5,5307,3.761824006,281,76.8,5085,4.244011799,239,74.2,4748,3.735004212
